Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
122.675,122.5616,122.675,122.675,121.8866,5.02646708488
122.675,122.5616,122.7866,122.675,121.8866,9.18672513962
122.675,122.675,122.675,122.675,121.8866,14.3261320591
122.7866,122.675,122.675,122.675,121.8866,20.1368410587
122.675,122.675,122.675,122.675,121.8866,24.2861099243
122.7866,122.675,122.7866,122.675,121.8866,28.4364099503
122.7866,122.675,122.675,122.675,121.8866,32.5861611366
122.7866,122.5616,122.675,122.675,121.8866,36.7363231182
122.675,122.5616,122.675,122.675,120.425,40.8864309788
122.675,122.5616,122.675,122.675,119.075,45.0362551212
122.675,122.5616,122.675,122.675,119.075,49.1860980988
122.5616,122.5616,122.675,122.5616,115.1366,53.336452961
122.45,122.5616,122.675,122.5616,112.2116,57.5168170929
122.45,122.45,122.675,122.5616,107.825,61.6662919521
122.45,122.3366,122.675,122.5616,105.4616,65.8165020943
122.45,122.3366,122.5616,122.45,104.675,69.9662549496
122.45,122.3366,122.5616,122.225,103.325,74.1164360046
122.45,122.225,122.45,119.3,102.3116,79.0962910652
122.45,122.225,122.45,117.05,101.1866,84.0863649845
122.3366,122.1116,122.45,116.825,100.625,89.0662560463
122.3366,122.1116,122.3366,113.5616,100.0616,93.2179601192
122.3366,122.1116,122.225,110.75,99.8366,97.526720047
122.225,122.225,122.1116,108.725,99.05,102.52711606
122.225,122.225,122.0,107.7116,98.4866,107.517389059
122.225,122.1116,121.8866,107.2616,97.925,111.666715145
122.225,122.1116,121.6616,106.25,97.7,116.657104969
122.225,122.0,121.6616,106.25,97.3616,120.806699038
122.1116,122.0,121.775,106.3616,97.25,124.958563089
122.1116,122.0,121.8866,105.8,97.25,130.76674509
122.1116,122.0,121.8866,105.575,97.1366,134.916898012
122.1116,122.0,121.8866,105.9116,97.1366,139.126914978
122.1116,122.0,121.8866,105.9116,97.1366,143.276903152
122.1116,122.0,121.8866,105.35,97.1366,147.426734924
122.1116,122.0,121.8866,105.0116,97.1366,151.577075005
122.1116,122.0,121.8866,105.575,97.1366,156.567033052
122.1116,122.0,122.0,105.4616,97.1366,160.726982117
122.1116,122.0,122.0,105.4616,97.1366,165.706938982
122.225,122.0,122.0,105.9116,97.1366,169.856653929
122.1116,122.0,122.0,105.6866,97.1366,175.66676712
122.225,122.0,122.0,105.6866,97.1366,181.48665905
122.225,122.0,122.0,105.4616,97.1366,186.477560997
122.1116,122.0,121.8866,105.125,97.1366,190.656521082
122.1116,122.0,122.0,105.0116,97.1366,194.806817055
122.1116,122.0,122.0,105.2366,97.1366,199.786540985
122.1116,122.0,122.0,105.2366,97.025,204.766703129
122.1116,122.0,122.0,105.2366,97.025,208.916149139
122.1116,122.0,122.0,105.575,97.1366,213.066934109
122.1116,122.0,122.0,105.6866,97.1366,218.046304941
122.1116,122.0,122.0,105.6866,97.1366,223.026730061
122.1116,122.0,122.0,105.9116,97.1366,228.126162052
122.1116,121.8866,122.0,105.125,97.1366,232.277512074
122.1116,122.0,121.8866,104.5616,97.1366,236.426725149
122.1116,122.0,121.8866,105.35,97.8116,243.06683898
122.1116,122.0,121.8866,105.575,97.8116,247.216946125
122.1116,122.0,121.8866,105.35,98.0366,251.366688013
122.1116,122.0,121.8866,105.6866,98.2616,255.526654005
