Capacity,Power,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
600,0,119.075,118.4,118.5116,118.5116,116.6,6.14968204498
600,0,119.075,118.4,118.5116,118.4,116.0366,11.469479084
600,0,118.625,118.4,118.5116,118.4,116.0366,17.6193680763
600,0,118.625,118.4,118.5116,118.4,116.0366,22.9397058487
600,0,118.625,118.4,118.5116,118.5116,116.0366,29.0887908936
600,0,118.625,118.4,118.5116,118.5116,116.0366,34.4111878872
600,0,118.625,118.4,118.5116,118.4,116.0366,40.5692000389
600,0,118.625,118.4,118.5116,118.4,116.0366,47.5493929386
600,0,118.625,118.4,118.5116,118.4,116.0366,54.6788179874
600,0,118.625,118.4,118.5116,118.4,116.0366,60.0005619526
600,0,118.625,118.4,118.5116,118.4,116.0366,65.3189549446
600,0,118.625,118.4,118.5116,118.4,116.0366,72.2986009121
600,0,118.625,118.4,118.5116,118.4,116.0366,82.5985870361
600,0,118.625,118.4,118.5116,118.4,116.0366,87.9199540615
600,0,118.625,118.4,118.5116,118.5116,116.0366,93.3788359165
600,0,118.625,118.5116,118.5116,118.5116,116.0366,98.6992549896
600,0,118.625,118.5116,118.5116,118.5116,116.0366,104.019438982
600,0,118.625,118.5116,118.625,118.5116,116.0366,110.999002934
600,0,118.625,118.5116,118.5116,118.5116,116.0366,116.319365978
600,0,118.625,118.5116,118.5116,118.5116,116.0366,121.64061904
600,0,118.625,118.5116,118.5116,118.5116,116.0366,126.959249973
600,0,118.625,118.5116,118.5116,118.5116,115.925,132.278985977
600,0,118.625,118.4,118.5116,118.5116,115.925,138.428933859
600,0,118.625,118.4,118.5116,118.5116,115.925,143.759377956
600,0,118.625,118.4,118.5116,118.4,112.775,149.920001984
600,0,118.5116,118.4,118.5116,118.4,106.3616,159.397307873
600,0,118.4,118.4,118.5116,118.0616,104.3366,166.438647032
600,0,118.4,118.2866,118.5116,116.9366,102.0866,175.100529909
600,0,118.4,118.175,118.4,111.9866,100.0616,182.910182953
600,0,118.4,118.0616,118.2866,109.5116,98.825,189.891036034
600,0,118.0616,118.0616,117.725,109.5116,98.15,197.903702974
600,0,118.0616,118.0616,117.3866,103.6616,96.9116,205.719413042
600,0,117.95,117.8366,117.275,102.425,96.8,211.039077997
600,0,117.95,117.8366,116.825,102.425,96.575,216.359904051
825,0,117.8366,117.725,116.7116,100.85,96.35,221.689310074
825,0,117.8366,117.725,117.1616,100.85,96.125,227.83901906
825,0,117.8366,117.725,117.3866,100.5116,96.0116,233.989423037
825,0,117.8366,117.725,117.3866,99.95,96.0116,240.139002085
825,0,117.95,117.725,117.3866,99.5,95.9,246.609339952
825,0,117.8366,117.725,117.6116,99.05,95.9,252.75936389
825,0,117.95,117.725,117.6116,98.7116,95.9,258.169246912
825,0,117.95,117.725,117.6116,98.4866,96.125,263.488781929
825,0,117.95,117.725,117.6116,98.4866,96.2366,269.639070034
825,0,117.95,117.725,117.6116,98.6,96.35,274.959455013
975,4500,117.95,117.725,117.6116,99.3866,96.4616,281.159193039
975,4500,117.95,117.725,117.6116,99.5,96.575,287.31098485
975,4500,117.95,117.725,117.6116,99.725,96.6866,293.45914793
975,4500,117.95,117.725,117.6116,99.8366,97.025,298.819058895
975,4500,117.95,117.725,117.6116,99.95,97.3616,305.798591852
975,4500,117.95,117.725,117.6116,100.4,97.5866,311.119940042
975,4500,117.95,117.725,117.6116,100.2866,97.8116,316.438564062
975,4500,117.95,117.725,117.6116,100.175,97.925,321.758558989
975,4500,117.95,117.725,117.6116,100.175,98.0366,327.078791857
975,4500,117.95,117.725,117.6116,100.4,98.2616,332.399829865
975,4500,117.95,117.725,117.6116,100.625,98.2616,340.208785057
1050,4500,117.95,117.725,117.6116,100.625,99.05,346.369052887
1050,4500,117.95,117.725,117.6116,100.625,99.275,353.349328041
1050,4500,117.95,117.725,117.6116,100.5116,99.5,358.669144869
1050,4500,117.95,117.725,117.6116,100.7366,100.2866,364.819977999
1050,4500,117.95,117.725,117.6116,100.7366,100.85,370.138651848
1050,4500,117.95,117.725,117.6116,100.7366,100.7366,377.198611021
1050,4500,117.8366,117.725,117.6116,100.85,100.9616,383.399021864
1050,4500,117.8366,117.725,117.6116,101.075,101.4116,388.739276886
1050,4500,117.8366,117.725,117.6116,101.525,101.075,395.730684042
1050,4500,117.8366,117.725,117.6116,101.525,101.4116,403.539154053
1050,4500,117.8366,117.725,117.6116,102.3116,101.1866,408.869720936
1050,4500,117.8366,117.725,117.6116,102.425,101.075,415.029276848
1050,4500,117.95,117.725,117.6116,102.425,101.075,420.368545055
1050,4500,117.8366,117.725,117.6116,102.5366,101.075,425.699311972
1050,4500,117.95,117.725,117.6116,102.65,101.3,431.849447966
1050,4500,117.95,117.725,117.5,102.65,101.6366,438.010694027
1050,4500,117.8366,117.725,117.5,103.1,102.2,443.329551935
1050,4500,117.8366,117.725,117.5,103.1,102.425,449.479268074
1050,4500,117.95,117.725,117.5,103.325,102.7616,454.800134897
975,4500,117.8366,117.725,117.5,103.4366,102.5366,460.229362011
975,4500,117.8366,117.725,117.5,103.4366,102.65,465.549395084
975,4500,117.8366,117.725,117.5,103.4366,102.875,471.699009895
975,4500,117.8366,117.6116,117.5,103.6616,102.875,479.699086905
975,4500,117.8366,117.725,117.5,103.6616,103.6616,485.849232912
975,4500,117.8366,117.725,117.5,103.775,104.3366,494.829262018
975,4500,117.8366,117.725,117.5,104.1116,104.9,500.978694916
975,4500,117.8366,117.725,117.5,104.3366,105.35,507.12924099
975,4500,117.8366,117.6116,117.5,104.45,105.125,513.289224863
975,4500,117.8366,117.725,117.5,104.5616,105.0116,520.311207056
975,4500,117.8366,117.725,117.5,104.675,105.0116,526.469104052
975,4500,117.8366,117.725,117.5,104.675,105.125,533.450860977
975,4500,117.8366,117.725,117.5,105.0116,105.0116,540.429087877
975,4500,117.8366,117.725,117.6116,105.2366,105.125,546.579262018
975,4500,117.8366,117.725,117.5,105.2366,104.9,551.89939785
975,4500,117.8366,117.725,117.5,105.575,105.2366,557.219655991
975,4500,117.8366,117.6116,117.5,105.6866,105.8,565.028869867
975,4500,117.8366,117.725,117.5,105.8,106.025,570.381911993
975,4500,117.8366,117.725,117.5,105.9116,106.25,575.69966197
900,4500,117.8366,117.725,117.5,106.025,106.8116,581.848762035
900,4500,117.8366,117.725,117.5,106.1366,107.4866,587.169209003
900,4500,117.8366,117.6116,117.5,106.25,107.6,592.559198856
900,4500,117.8366,117.725,117.5,106.3616,107.7116,597.879307985
900,4500,117.8366,117.725,117.5,106.3616,107.7116,604.03012991
900,4500,117.8366,117.725,117.5,106.5866,107.825,610.179357052
900,4500,117.8366,117.6116,117.5,106.7,107.6,617.169137955
900,4500,117.8366,117.6116,117.5,106.8116,107.375,622.48881197
900,4500,117.8366,117.6116,117.5,107.15,107.2616,628.639044046
900,4500,117.8366,117.6116,117.5,107.375,107.6,634.788915873
825,4500,117.8366,117.725,117.5,107.4866,107.825,640.109364986
825,4500,117.8366,117.725,117.5,107.6,108.275,645.429600954
825,4500,117.8366,117.725,117.5,107.7116,107.9366,654.07873106
825,4500,117.8366,117.725,117.5,107.825,107.7116,659.399081945
825,4500,117.8366,117.725,117.5,107.9366,108.3866,664.978761911
825,4500,117.8366,117.725,117.5,107.9366,108.3866,670.299213886
825,4500,117.8366,117.725,117.5,108.05,108.3866,676.460129023
825,4500,117.8366,117.725,117.5,108.05,108.3866,682.608736992
825,4500,117.8366,117.725,117.5,108.3866,108.725,687.949491978
825,4500,117.8366,117.725,117.5,108.5,108.725,694.998663902
750,4500,117.8366,117.6116,117.5,108.6116,108.8366,699.349331856
2,17,117.8366,117.6116,117.5,108.6116,109.0616,703.668534994
2,17,117.8366,117.6116,117.5,108.725,109.2866,708.819087029
2,17,117.8366,117.6116,117.5,108.95,109.0616,715.638964891
2,17,117.8366,117.6116,117.5,109.0616,108.95,719.95927906
2,17,117.8366,117.725,117.3866,109.175,109.0616,724.288702965
2,17,117.8366,117.725,117.3866,109.2866,109.0616,728.619920015
750,4500,117.8366,117.725,117.3866,109.5116,109.9616,736.579367876
2,17,117.8366,117.6116,117.3866,109.5116,110.525,740.898797989
2,17,117.8366,117.725,117.3866,109.625,110.525,746.049437046
2,17,117.8366,117.725,117.3866,109.85,110.4116,751.200197935
2,17,117.8366,117.725,117.3866,109.9616,110.4116,755.521291018
2,17,117.8366,117.725,117.3866,109.9616,110.6366,761.679200888
675,4500,117.8366,117.6116,117.3866,110.3,111.0866,767.029831886
675,4500,117.8366,117.725,117.3866,110.4116,111.0866,774.00928998
675,4500,117.8366,117.725,117.275,110.525,110.6366,780.159384012
675,4500,117.8366,117.725,117.05,110.6366,110.525,785.479436874
675,4500,117.8366,117.725,117.1616,110.8616,110.4116,790.800297022
675,4500,117.8366,117.6116,117.275,110.975,110.4116,796.121854067
