Capacity,Power,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
225,0,122.45,122.3366,122.45,122.45,121.6616,5.32146883011
225,0,122.45,122.3366,122.45,122.45,121.6616,10.6417279243
225,0,122.45,122.3366,122.45,122.45,121.6616,15.9715969563
225,0,122.45,122.3366,122.45,122.45,121.6616,21.2912390232
225,0,122.45,122.3366,122.45,122.45,121.6616,26.6116418839
225,0,122.45,122.3366,122.45,122.45,121.6616,31.9615259171
225,0,122.45,122.3366,122.45,122.45,121.6616,37.2818820477
225,0,122.45,122.3366,122.45,122.45,121.6616,42.6116909981
225,0,122.45,122.3366,122.45,122.45,121.6616,47.9318790436
225,0,122.45,122.3366,122.45,122.45,121.6616,53.2522978783
225,0,122.45,122.3366,122.45,122.45,121.6616,58.5716500282
225,0,122.45,122.3366,122.45,122.45,121.6616,64.7215979099
225,0,122.45,122.3366,122.45,122.45,121.6616,70.041757822
225,0,122.45,122.3366,122.45,122.45,121.6616,75.3614199162
225,0,122.45,122.3366,122.45,122.45,121.6616,80.6952688694
225,0,122.45,122.3366,122.45,122.45,121.6616,86.0114929676
225,0,122.45,122.3366,122.45,122.45,121.6616,91.4010779858
225,0,122.45,122.3366,122.45,122.45,121.6616,96.7232179642
225,0,122.45,122.3366,122.45,122.45,121.6616,102.872117996
225,0,122.45,122.3366,122.45,122.45,121.6616,108.192030907
225,0,122.45,122.3366,122.45,122.45,121.6616,113.51117897
225,0,122.45,122.3366,122.45,122.45,121.6616,118.841542959
225,0,122.45,122.3366,122.45,122.45,121.6616,124.160925865
225,0,122.45,122.3366,122.45,122.45,121.6616,129.48160696
225,0,122.45,122.3366,122.45,122.45,121.6616,134.811588049
225,0,122.45,122.3366,122.45,122.45,121.6616,140.131340981
225,0,122.45,122.3366,122.45,122.45,121.6616,146.281643867
225,0,122.45,122.3366,122.45,122.45,121.6616,153.261430025
225,0,122.45,122.3366,122.45,122.45,121.6616,158.581951857
225,0,122.45,122.3366,122.45,122.45,121.6616,163.901439905
225,0,122.45,122.3366,122.45,122.45,121.6616,170.051512957
225,0,122.45,122.3366,122.45,122.45,121.6616,175.600941896
225,0,122.45,122.3366,122.45,122.45,121.6616,182.581692934
225,0,122.45,122.3366,122.45,122.45,121.6616,188.731323957
225,0,122.45,122.3366,122.45,122.45,121.6616,195.711470842
225,0,122.45,122.3366,122.45,122.45,121.6616,201.861409903
225,0,122.45,122.3366,122.45,122.45,121.6616,207.18174696
225,0,122.45,122.3366,122.45,122.45,121.6616,212.501837015
225,0,122.45,122.3366,122.45,122.45,121.6616,219.561432838
225,0,122.45,122.3366,122.45,122.45,121.6616,224.881782055
225,0,122.45,122.3366,122.45,122.45,121.6616,231.861410856
225,0,122.45,122.3366,122.45,122.45,121.6616,238.011592865
225,0,122.45,122.3366,122.45,122.45,121.6616,244.301573038
225,0,122.45,122.3366,122.45,122.45,121.6616,251.692666054
225,0,122.45,122.3366,122.45,122.45,121.6616,257.892830849
225,0,122.45,122.3366,122.45,122.45,121.6616,264.04141283
225,0,122.45,122.3366,122.45,122.45,121.6616,269.361495972
225,0,122.45,122.3366,122.45,122.45,121.6616,274.693284035
225,0,122.45,122.3366,122.45,122.3366,121.6616,280.011587858
225,0,122.45,122.3366,122.45,122.45,121.6616,285.331321001
225,0,122.45,122.3366,122.45,122.45,121.6616,290.651962042
225,0,122.45,122.3366,122.45,122.45,121.6616,296.101502895
225,0,122.45,122.3366,122.45,122.45,121.6616,302.261765957
225,0,122.45,122.3366,122.45,122.45,121.6616,307.581925869
225,0,122.45,122.3366,122.45,122.45,121.6616,314.571611881
225,0,122.45,122.3366,122.45,122.3366,121.6616,319.891541004
225,0,122.45,122.3366,122.45,122.3366,121.6616,325.211216927
225,0,122.45,122.3366,122.45,122.45,121.6616,331.36143899
225,0,122.45,122.3366,122.45,122.45,121.6616,336.761338949
225,0,122.45,122.3366,122.45,122.3366,121.6616,342.911525965
225,0,122.45,122.3366,122.45,122.3366,121.6616,349.891249895
225,0,122.45,122.3366,122.45,122.3366,121.6616,356.041578054
225,0,122.45,122.3366,122.45,122.3366,121.6616,361.361629963
225,0,122.45,122.3366,122.45,122.3366,121.6616,366.681793928
225,0,122.45,122.3366,122.45,122.45,121.6616,373.661476851
225,0,122.45,122.3366,122.45,122.3366,121.6616,379.901356936
225,0,122.45,122.3366,122.45,122.45,121.6616,386.061439037
225,0,122.45,122.3366,122.45,122.45,121.6616,391.38207984
225,0,122.45,122.3366,122.45,122.3366,121.6616,396.701639891
225,0,122.45,122.3366,122.45,122.45,121.6616,402.862556934
225,0,122.45,122.3366,122.45,122.3366,121.6616,409.841632843
225,0,122.45,122.3366,122.45,122.3366,121.6616,415.161434889
225,0,122.45,122.3366,122.45,122.3366,121.6616,420.630923033
