Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
1/1 7:52:30 AM,78,Kitchen Sink,0.745,0.631,0.114
1/1 8:37:24 AM,18,Sink 3,0.402,0.341,0.061
1/1 8:49:36 AM,144,Shower 2,2.595,2.199,0.396
1/1 9:20:06 AM,798,Shower 1,2.593,2.198,0.395
1/1 9:40:24 AM,66,Kitchen Sink,1.028,0.871,0.157
1/1 9:41:48 AM,12,Sink 4,1.137,0.964,0.173
1/1 9:43:48 AM,108,Kitchen Sink,1.452,1.231,0.221
1/1 10:06:36 AM,24,Kitchen Sink,1.577,1.337,0.240
1/1 10:08:12 AM,84,CW,3.044,3.044,0.000
1/1 10:09:48 AM,12,Kitchen Sink,1.202,1.019,0.183
1/1 11:14:00 AM,24,Sink 4,0.472,0.400,0.072
1/1 11:15:54 AM,6,Kitchen Sink,0.048,0.041,0.007
1/1 12:33:18 PM,126,Kitchen Sink,1.692,1.434,0.258
1/1 1:34:06 PM,54,Kitchen Sink,0.716,0.607,0.109
1/1 2:56:48 PM,36,Kitchen Sink,1.754,1.487,0.267
1/1 2:57:36 PM,18,Kitchen Sink,1.049,0.889,0.160
1/1 2:59:06 PM,36,Kitchen Sink,2.278,1.931,0.347
1/1 3:01:00 PM,66,Sink 3,0.948,0.804,0.144
1/1 3:10:48 PM,12,Kitchen Sink,0.475,0.403,0.072
1/1 4:11:24 PM,6,Kitchen Sink,2.203,1.867,0.336
1/1 4:28:06 PM,6,Sink 4,0.489,0.414,0.075
1/1 4:55:54 PM,48,Sink 4,0.77,0.653,0.117
1/1 5:17:12 PM,24,Sink 4,0.83,0.703,0.127
1/1 5:35:36 PM,6,Kitchen Sink,0.137,0.116,0.021
1/1 5:59:48 PM,108,Kitchen Sink,0.495,0.420,0.075
1/1 10:45:06 PM,36,Kitchen Sink,2.192,1.858,0.334
1/2 12:30:30 AM,48,Kitchen Sink,0.05,0.042,0.008
1/2 12:32:30 AM,42,Sink 4,1.55,1.314,0.236
1/2 12:34:24 AM,78,Sink 2,1.14,0.966,0.174
1/2 12:36:18 AM,72,Kitchen Sink,0.357,0.303,0.054
1/2 3:22:48 AM,24,Sink 2,1.628,1.380,0.248
1/2 5:05:42 AM,12,Sink 3,0.704,0.597,0.107
1/2 5:48:42 AM,78,Sink 4,0.962,0.816,0.146
1/2 5:50:42 AM,90,Sink 2,1.355,1.149,0.206
1/2 5:52:36 AM,30,Sink 4,1.547,1.311,0.236
1/2 6:54:18 AM,6,Kitchen Sink,0.216,0.183,0.033
1/2 6:56:18 AM,30,Kitchen Sink,1.609,1.364,0.245
1/2 6:58:12 AM,18,Kitchen Sink,1.507,1.278,0.229
1/2 7:27:18 AM,174,Sink 2,0.62,0.526,0.094
1/2 8:05:12 AM,30,Sink 3,0.358,0.303,0.055
1/2 8:07:06 AM,12,Kitchen Sink,1.561,1.323,0.238
1/2 8:09:06 AM,48,Kitchen Sink,0.243,0.206,0.037
1/2 8:23:30 AM,60,Kitchen Sink,0.954,0.809,0.145
1/2 9:31:30 AM,6,Kitchen Sink,0.126,0.107,0.019
1/2 10:31:12 AM,54,Kitchen Sink,0.164,0.139,0.025
1/2 10:33:06 AM,12,Kitchen Sink,1.079,0.915,0.164
1/2 10:35:06 AM,18,Kitchen Sink,1.336,1.133,0.203
